team_name,oppname,outcome,score,venue,ko_year,ko_date,geo_id,geounits
Togo,Ghana,D,1 - 1,"Stade Agoè-Nyivé, Lomé",1956,13 October 1956,Togo,TGO
Sudan,Ethiopia,L,1 - 2,"Addis Ababa Stadium, Addis Ababa",1956,16 November 1956,Sudan,SDN
Thailand,Vietnam,L,1 - 3,South Vietnam,1956,1956,Thailand,THA
Malta,Austria,L,2 - 3,"Ta' Qali National Stadium, Gżira",1957,24 February 1957,Malta,MLT
Algeria,Tunisia,W,2 - 1,Tunisia,1957,1 June 1957,Algeria,DZA
Saudi Arabia,Lebanon,D,1 - 1,"Beirut, Lebanon",1957,18 October 1957,Saudi Arabia,SAU
Morocco,Iraq,D,3 - 3,"Beirut, Lebanon",1957,19 October 1957,Morocco,MAR
Iraq,Morocco,D,3 - 3,"Beirut, Lebanon",1957,19 October 1957,Iraq,IRQ
Benin,Nigeria,L,0 - 1,Cotonou,1959,8 November 1959,Benin,BEN
Ivory Coast,Benin,W,3 - 2,"Antananarivo, Madagascar",1960,13 April 1960,Ivory Coast,CIV
Burkina Faso,Gabon,W,5 - 4,"Antananarivo, Madagascar",1960,13 April 1960,Burkina Faso,BFA
Gabon,Burkina Faso,L,4 - 5,"Antananarivo, Madagascar",1960,13 April 1960,Gabon,GAB
Cameroon,Djibouti,W,9 - 2,"Antananarivo, Madagascar",1960,13 April 1960,Cameroon,CMR
Mali,Central African Republic,W,4 - 3,"Antananarivo, Madagascar",1960,13 April 1960,Mali,MLI
Central African Republic,Mali,L,3 - 4,"Antananarivo, Madagascar",1960,13 April 1960,Central African Republic,CAF
Congo,Réunion,W,4 - 1,"Antananarivo, Madagascar",1960,13 April 1960,Republic of the Congo,COG
Guinea,Nigeria,L,1 - 4,"Onikan Stadium, Lagos",1960,2 October 1960,Guinea,GIN
Kuwait,Libya,D,2 - 2,"Casablanca, Morocco",1961,3 September 1961,Kuwait,KWT
Laos,Vietnam,L,0 - 7,"Rangoon, Burma",1961,12 December 1961,Laos,LAO
Senegal,Benin,L,3 - 4,"Abidjan, Ivory Coast",1961,31 December 1961,Senegal,SEN
Malawi,Ghana,L,0 - 12,Blantyre,1962,15 October 1962,Malawi,MWI
Gambia,Senegal,W,3 - 2,Banjul,1962,5 December 1962,Gambia,GMB
Liberia,Chad,W,2 - 1,"Dakar, Senegal",1963,11 April 1963,Liberia,LBR
Chad,Liberia,L,1 - 2,"Dakar, Senegal",1963,11 April 1963,Chad,TCD
Congo DR,Mauritania,W,6 - 0,"Dakar, Senegal",1963,11 April 1963,Democratic Republic of the Congo,COD
Mauritania,Congo DR,L,0 - 6,"Dakar, Senegal",1963,11 April 1963,Mauritania,MRT
Niger,Nigeria,L,0 - 1,"Dakar, Senegal",1963,11 April 1963,Niger,NER
Papua New Guinea,Fiji,L,1 - 3,"Suva, Fiji",1963,29 August 1963,Papua New Guinea,PNG
Solomon Islands,Vanuatu,W,6 - 3,"Suva, Fiji",1963,29 August 1963,Solomon Islands,SLB
Somalia,North Korea,L,0 - 14,"Jakarta, Indonesia",1963,12 November 1963,Somalia,SOM
Bermuda,Iceland,L,3 - 4,"Reykjavík, Iceland",1964,10 August 1964,Bermuda,BMU
Yemen,Egypt,L,0 - 14,"Cairo, Egypt",1965,2 September 1965,Yemen,YEM
Oman,Sudan,L,0 - 15,"Cairo, Egypt",1965,2 September 1965,Oman,OMN
Yemen,Sudan,L,0 - 9,"Cairo, Egypt",1965,5 September 1965,Yemen,YEM
Grenada,Dominica,L,0 - 2,Saint Vincent and the Grenadines,1965,21 November 1965,Grenada,GRD
Bahrain,Kuwait,D,4 - 4,"Baghdad, Iraq",1966,1 April 1966,Bahrain,BHR
Dominican Republic,Haiti,L,0 - 8,"Santo Domingo, Dominican Republic",1967,21 May 1967,Dominican Republic,DOM
eSwatini,Malawi,W,2 - 0,"Lobamba, Swaziland",1968,1 May 1968,eSwatini,SWZ
Botswana,Malawi,L,1 - 8,"Blantyre, Malawi",1968,13 July 1968,Botswana,BWA
Bahamas,Netherlands Antilles,L,1 - 8,"Panama City, Panama",1970,3 March 1970,The Bahamas,BHS
Qatar,Bahrain,L,1 - 2,Bahrain,1970,27 March 1970,Qatar,QAT
Lesotho,Malawi,W,2 - 1,"Blantyre, Malawi",1970,8 August 1970,Lesotho,LSO
