name,position,year,round
M. Häkkinen,7,1992,16
N. Mansell,,1992,16
A. Senna,,1992,16
A. Senna,1,1991,1
A. Prost,2,1991,1
N. Piquet,3,1991,1
M. Häkkinen,13,1991,1
N. Mansell,,1991,1
A. Senna,1,1991,2
A. Prost,4,1991,2
N. Piquet,5,1991,2
M. Häkkinen,9,1991,2
N. Mansell,,1991,2
A. Senna,1,1991,3
M. Häkkinen,5,1991,3
N. Piquet,,1991,3
N. Mansell,,1991,3
A. Prost,,1991,3
A. Senna,1,1991,4
N. Mansell,2,1991,4
A. Prost,5,1991,4
M. Häkkinen,,1991,4
N. Piquet,,1991,4
N. Piquet,1,1991,5
N. Mansell,6,1991,5
A. Prost,,1991,5
A. Senna,,1991,5
M. Häkkinen,,1991,5
N. Mansell,2,1991,6
A. Senna,3,1991,6
M. Häkkinen,9,1991,6
N. Piquet,,1991,6
A. Prost,,1991,6
N. Mansell,1,1991,7
A. Prost,2,1991,7
A. Senna,3,1991,7
N. Piquet,8,1991,7
M. Häkkinen,,1991,7
N. Mansell,1,1991,8
A. Prost,3,1991,8
A. Senna,4,1991,8
N. Piquet,5,1991,8
M. Häkkinen,12,1991,8
N. Mansell,1,1991,9
A. Senna,7,1991,9
A. Prost,,1991,9
N. Piquet,,1991,9
M. Häkkinen,,1991,9
A. Senna,1,1991,10
N. Mansell,2,1991,10
M. Häkkinen,14,1991,10
N. Piquet,,1991,10
A. Prost,,1991,10
A. Senna,1,1991,11
N. Piquet,3,1991,11
M. Häkkinen,,1991,11
N. Mansell,,1991,11
A. Prost,,1991,11
M. Schumacher,,1991,11
N. Mansell,1,1991,12
A. Senna,2,1991,12
A. Prost,3,1991,12
M. Schumacher,5,1991,12
N. Piquet,6,1991,12
M. Häkkinen,14,1991,12
A. Senna,2,1991,13
N. Piquet,5,1991,13
M. Schumacher,6,1991,13
M. Häkkinen,14,1991,13
N. Mansell,,1991,13
A. Prost,,1991,13
N. Mansell,1,1991,14
A. Prost,2,1991,14
A. Senna,5,1991,14
M. Schumacher,6,1991,14
N. Piquet,11,1991,14
M. Häkkinen,,1991,14
A. Senna,2,1991,15
A. Prost,4,1991,15
N. Piquet,7,1991,15
M. Schumacher,,1991,15
N. Mansell,,1991,15
M. Häkkinen,,1991,15
A. Senna,1,1991,16
N. Mansell,2,1991,16
N. Piquet,4,1991,16
M. Häkkinen,19,1991,16
M. Schumacher,,1991,16
A. Senna,1,1990,1
N. Piquet,4,1990,1
N. Mansell,,1990,1
A. Prost,,1990,1
A. Prost,1,1990,2
A. Senna,3,1990,2
N. Mansell,4,1990,2
N. Piquet,6,1990,2
A. Prost,4,1990,3
N. Piquet,5,1990,3
N. Mansell,,1990,3
A. Senna,,1990,3
A. Senna,1,1990,4
N. Mansell,,1990,4
A. Prost,,1990,4
N. Piquet,,1990,4
A. Senna,1,1990,5
N. Piquet,2,1990,5
N. Mansell,3,1990,5
A. Prost,5,1990,5
A. Prost,1,1990,6
N. Mansell,2,1990,6
N. Piquet,6,1990,6
A. Senna,20,1990,6
A. Prost,1,1990,7
A. Senna,3,1990,7
N. Piquet,4,1990,7
N. Mansell,18,1990,7
A. Prost,1,1990,8
A. Senna,3,1990,8
N. Piquet,5,1990,8
N. Mansell,,1990,8
A. Senna,1,1990,9
A. Prost,4,1990,9
N. Piquet,,1990,9
N. Mansell,,1990,9
A. Senna,2,1990,10
N. Piquet,3,1990,10
N. Mansell,17,1990,10
A. Prost,,1990,10
A. Senna,1,1990,11
A. Prost,2,1990,11
N. Piquet,5,1990,11
N. Mansell,,1990,11
A. Senna,1,1990,12
A. Prost,2,1990,12
N. Mansell,4,1990,12
N. Piquet,7,1990,12
N. Mansell,1,1990,13
A. Senna,2,1990,13
A. Prost,3,1990,13
N. Piquet,5,1990,13
A. Prost,1,1990,14
N. Mansell,2,1990,14
A. Senna,,1990,14
N. Piquet,,1990,14
N. Piquet,1,1990,15
N. Mansell,,1990,15
A. Senna,,1990,15
A. Prost,,1990,15
N. Piquet,1,1990,16
N. Mansell,2,1990,16
A. Prost,3,1990,16
A. Senna,,1990,16
F. Alonso,5,2009,1
N. Rosberg,6,2009,1
S. Vettel,13,2009,1
K. Räikkönen,15,2009,1
L. Hamilton,,2009,1
L. Hamilton,7,2009,2
N. Rosberg,8,2009,2
F. Alonso,11,2009,2
K. Räikkönen,14,2009,2
S. Vettel,15,2009,2
S. Vettel,1,2009,3
L. Hamilton,6,2009,3
F. Alonso,9,2009,3
K. Räikkönen,10,2009,3
N. Rosberg,15,2009,3
S. Vettel,2,2009,4
L. Hamilton,4,2009,4
K. Räikkönen,6,2009,4
F. Alonso,8,2009,4
N. Rosberg,9,2009,4
S. Vettel,4,2009,5
F. Alonso,5,2009,5
N. Rosberg,8,2009,5
L. Hamilton,9,2009,5
K. Räikkönen,,2009,5
K. Räikkönen,3,2009,6
N. Rosberg,6,2009,6
F. Alonso,7,2009,6
L. Hamilton,12,2009,6
S. Vettel,,2009,6
S. Vettel,3,2009,7
N. Rosberg,5,2009,7
K. Räikkönen,9,2009,7
F. Alonso,10,2009,7
L. Hamilton,13,2009,7
S. Vettel,1,2009,8
N. Rosberg,5,2009,8
K. Räikkönen,8,2009,8
F. Alonso,14,2009,8
L. Hamilton,16,2009,8
S. Vettel,2,2009,9
N. Rosberg,4,2009,9
F. Alonso,7,2009,9
L. Hamilton,18,2009,9
K. Räikkönen,,2009,9
L. Hamilton,1,2009,10
K. Räikkönen,2,2009,10
N. Rosberg,4,2009,10
S. Vettel,,2009,10
F. Alonso,,2009,10
L. Hamilton,2,2009,11
K. Räikkönen,3,2009,11
N. Rosberg,5,2009,11
F. Alonso,6,2009,11
S. Vettel,,2009,11
K. Räikkönen,1,2009,12
S. Vettel,3,2009,12
N. Rosberg,8,2009,12
F. Alonso,,2009,12
L. Hamilton,,2009,12
K. Räikkönen,3,2009,13
F. Alonso,5,2009,13
S. Vettel,8,2009,13
L. Hamilton,12,2009,13
N. Rosberg,16,2009,13
L. Hamilton,1,2009,14
F. Alonso,3,2009,14
S. Vettel,4,2009,14
K. Räikkönen,10,2009,14
N. Rosberg,11,2009,14
S. Vettel,1,2009,15
L. Hamilton,3,2009,15
K. Räikkönen,4,2009,15
N. Rosberg,5,2009,15
F. Alonso,10,2009,15
L. Hamilton,3,2009,16
S. Vettel,4,2009,16
K. Räikkönen,6,2009,16
N. Rosberg,,2009,16
F. Alonso,,2009,16
N. Mansell,1,1989,1
A. Prost,2,1989,1
A. Senna,11,1989,1
N. Piquet,,1989,1
A. Senna,1,1989,2
A. Prost,2,1989,2
N. Piquet,,1989,2
N. Mansell,,1989,2
A. Senna,1,1989,3
A. Prost,2,1989,3
N. Piquet,,1989,3
N. Mansell,,1989,3
A. Senna,1,1989,4
A. Prost,5,1989,4
N. Piquet,11,1989,4
N. Mansell,,1989,4
A. Prost,1,1989,5
N. Piquet,,1989,5
A. Senna,,1989,5
N. Mansell,,1989,5
N. Piquet,4,1989,6
A. Senna,7,1989,6
A. Prost,,1989,6
N. Mansell,,1989,6
A. Prost,1,1989,7
N. Mansell,2,1989,7
N. Piquet,8,1989,7
A. Senna,,1989,7
A. Prost,1,1989,8
N. Mansell,2,1989,8
N. Piquet,4,1989,8
A. Senna,,1989,8
A. Senna,1,1989,9
A. Prost,2,1989,9
N. Mansell,3,1989,9
N. Piquet,5,1989,9
N. Mansell,1,1989,10
A. Senna,2,1989,10
A. Prost,4,1989,10
N. Piquet,6,1989,10
A. Senna,1,1989,11
A. Prost,2,1989,11
N. Mansell,3,1989,11
N. Piquet,,1989,11
A. Prost,1,1989,12
A. Senna,,1989,12
N. Mansell,,1989,12
N. Piquet,,1989,12
A. Prost,2,1989,13
A. Senna,,1989,13
N. Mansell,,1989,13
N. Piquet,,1989,13
A. Senna,1,1989,14
A. Prost,3,1989,14
N. Piquet,8,1989,14
N. Piquet,4,1989,15
A. Senna,,1989,15
A. Prost,,1989,15
N. Mansell,,1989,15
N. Piquet,,1989,16
N. Mansell,,1989,16
A. Senna,,1989,16
A. Prost,,1989,16
A. Prost,1,1988,1
N. Piquet,3,1988,1
A. Senna,,1988,1
N. Mansell,,1988,1
A. Senna,1,1988,2
A. Prost,2,1988,2
N. Piquet,3,1988,2
N. Mansell,,1988,2
A. Prost,1,1988,3
A. Senna,,1988,3
N. Mansell,,1988,3
N. Piquet,,1988,3
A. Prost,1,1988,4
A. Senna,2,1988,4
N. Piquet,,1988,4
N. Mansell,,1988,4
A. Senna,1,1988,5
A. Prost,2,1988,5
N. Piquet,4,1988,5
N. Mansell,,1988,5
A. Senna,1,1988,6
A. Prost,2,1988,6
N. Piquet,,1988,6
N. Mansell,,1988,6
A. Prost,1,1988,7
A. Senna,2,1988,7
N. Piquet,5,1988,7
N. Mansell,,1988,7
A. Senna,1,1988,8
N. Mansell,2,1988,8
N. Piquet,5,1988,8
A. Prost,,1988,8
A. Senna,1,1988,9
A. Prost,2,1988,9
N. Mansell,,1988,9
N. Piquet,,1988,9
A. Senna,1,1988,10
A. Prost,2,1988,10
N. Piquet,8,1988,10
N. Mansell,,1988,10
A. Senna,1,1988,11
A. Prost,2,1988,11
N. Piquet,4,1988,11
A. Senna,10,1988,12
A. Prost,,1988,12
N. Piquet,,1988,12
A. Prost,1,1988,13
A. Senna,6,1988,13
N. Mansell,,1988,13
N. Piquet,,1988,13
A. Prost,1,1988,14
N. Mansell,2,1988,14
A. Senna,4,1988,14
N. Piquet,8,1988,14
A. Senna,1,1988,15
A. Prost,2,1988,15
N. Piquet,,1988,15
N. Mansell,,1988,15
A. Prost,1,1988,16
A. Senna,2,1988,16
N. Piquet,3,1988,16
N. Mansell,,1988,16
A. Prost,1,1987,1
N. Piquet,2,1987,1
N. Mansell,6,1987,1
A. Senna,,1987,1
N. Mansell,1,1987,2
A. Senna,2,1987,2
A. Prost,,1987,2
N. Piquet,,1987,2
A. Prost,1,1987,3
N. Mansell,,1987,3
A. Senna,,1987,3
N. Piquet,,1987,3
A. Senna,1,1987,4
N. Piquet,2,1987,4
A. Prost,9,1987,4
N. Mansell,,1987,4
A. Senna,1,1987,5
N. Piquet,2,1987,5
A. Prost,3,1987,5
N. Mansell,5,1987,5
N. Mansell,1,1987,6
N. Piquet,2,1987,6
A. Prost,3,1987,6
A. Senna,4,1987,6
N. Mansell,1,1987,7
N. Piquet,2,1987,7
A. Senna,3,1987,7
A. Prost,,1987,7
N. Piquet,1,1987,8
A. Senna,3,1987,8
A. Prost,7,1987,8
N. Mansell,,1987,8
N. Piquet,1,1987,9
A. Senna,2,1987,9
A. Prost,3,1987,9
N. Mansell,14,1987,9
N. Mansell,1,1987,10
N. Piquet,2,1987,10
A. Senna,5,1987,10
A. Prost,6,1987,10
N. Piquet,1,1987,11
A. Senna,2,1987,11
N. Mansell,3,1987,11
A. Prost,15,1987,11
A. Prost,1,1987,12
N. Piquet,3,1987,12
A. Senna,7,1987,12
N. Mansell,,1987,12
N. Mansell,1,1987,13
A. Prost,2,1987,13
N. Piquet,4,1987,13
A. Senna,5,1987,13
N. Mansell,1,1987,14
N. Piquet,2,1987,14
A. Senna,,1987,14
A. Prost,,1987,14
A. Senna,2,1987,15
A. Prost,7,1987,15
N. Piquet,15,1987,15
N. Mansell,,1987,15
A. Senna,,1987,16
N. Piquet,,1987,16
A. Prost,,1987,16
N. Piquet,1,1986,1
A. Senna,2,1986,1
A. Prost,,1986,1
N. Mansell,,1986,1
A. Senna,1,1986,2
N. Mansell,2,1986,2
A. Prost,3,1986,2
N. Piquet,,1986,2
A. Prost,1,1986,3
N. Piquet,2,1986,3
A. Senna,,1986,3
N. Mansell,,1986,3
A. Prost,1,1986,4
A. Senna,3,1986,4
N. Mansell,4,1986,4
N. Piquet,7,1986,4
N. Mansell,1,1986,5
A. Senna,2,1986,5
A. Prost,6,1986,5
N. Piquet,,1986,5
N. Mansell,1,1986,6
A. Prost,2,1986,6
N. Piquet,3,1986,6
A. Senna,5,1986,6
A. Senna,1,1986,7
A. Prost,3,1986,7
N. Mansell,5,1986,7
N. Piquet,,1986,7
N. Mansell,1,1986,8
A. Prost,2,1986,8
N. Piquet,3,1986,8
A. Senna,,1986,8
N. Mansell,1,1986,9
N. Piquet,2,1986,9
A. Prost,3,1986,9
A. Senna,,1986,9
N. Piquet,1,1986,10
A. Senna,2,1986,10
N. Mansell,3,1986,10
A. Prost,6,1986,10
N. Piquet,1,1986,11
A. Senna,2,1986,11
N. Mansell,3,1986,11
A. Prost,,1986,11
A. Prost,1,1986,12
N. Mansell,,1986,12
N. Piquet,,1986,12
A. Senna,,1986,12
N. Piquet,1,1986,13
N. Mansell,2,1986,13
A. Prost,,1986,13
A. Senna,,1986,13
N. Mansell,1,1986,14
A. Prost,2,1986,14
N. Piquet,3,1986,14
A. Senna,4,1986,14
A. Prost,2,1986,15
A. Senna,3,1986,15
N. Piquet,4,1986,15
N. Mansell,5,1986,15
A. Prost,1,1986,16
N. Piquet,2,1986,16
N. Mansell,,1986,16
A. Senna,,1986,16
A. Prost,1,1985,1
A. Senna,,1985,1
N. Lauda,,1985,1
N. Mansell,,1985,1
N. Piquet,,1985,1
A. Senna,1,1985,2
N. Mansell,5,1985,2
N. Lauda,,1985,2
A. Prost,,1985,2
N. Piquet,,1985,2
N. Lauda,4,1985,3
N. Mansell,5,1985,3
A. Senna,7,1985,3
N. Piquet,8,1985,3
A. Prost,,1985,3
A. Prost,1,1985,4
N. Mansell,7,1985,4
N. Lauda,,1985,4
N. Piquet,,1985,4
A. Senna,,1985,4
A. Prost,3,1985,5
N. Mansell,6,1985,5
A. Senna,16,1985,5
N. Lauda,,1985,5
N. Piquet,,1985,5
N. Piquet,6,1985,6
A. Senna,,1985,6
N. Mansell,,1985,6
A. Prost,,1985,6
N. Lauda,,1985,6
N. Piquet,1,1985,7
A. Prost,3,1985,7
N. Lauda,,1985,7
A. Senna,,1985,7
N. Mansell,,1985,7
A. Prost,1,1985,8
N. Piquet,4,1985,8
A. Senna,10,1985,8
N. Lauda,,1985,8
N. Mansell,,1985,8
A. Prost,2,1985,9
N. Lauda,5,1985,9
N. Mansell,6,1985,9
A. Senna,,1985,9
N. Piquet,,1985,9
A. Prost,1,1985,10
A. Senna,2,1985,10
N. Lauda,,1985,10
N. Piquet,,1985,10
N. Mansell,,1985,10
N. Lauda,1,1985,11
A. Prost,2,1985,11
A. Senna,3,1985,11
N. Mansell,6,1985,11
N. Piquet,8,1985,11
A. Prost,1,1985,12
N. Piquet,2,1985,12
A. Senna,3,1985,12
N. Mansell,11,1985,12
N. Lauda,,1985,12
A. Senna,1,1985,13
N. Mansell,2,1985,13
A. Prost,3,1985,13
N. Piquet,5,1985,13
N. Mansell,1,1985,14
A. Senna,2,1985,14
A. Prost,4,1985,14
N. Piquet,,1985,14
N. Mansell,1,1985,15
A. Prost,3,1985,15
N. Lauda,,1985,15
A. Senna,,1985,15
N. Piquet,,1985,15
A. Senna,,1985,16
N. Lauda,,1985,16
A. Prost,,1985,16
N. Piquet,,1985,16
N. Mansell,,1985,16
A. Prost,1,1984,1
N. Lauda,,1984,1
N. Mansell,,1984,1
N. Piquet,,1984,1
A. Senna,,1984,1
N. Lauda,1,1984,2
A. Prost,2,1984,2
A. Senna,6,1984,2
N. Mansell,,1984,2
N. Piquet,,1984,2
A. Senna,6,1984,3
N. Piquet,9,1984,3
N. Lauda,,1984,3
N. Mansell,,1984,3
A. Prost,,1984,3
A. Prost,1,1984,4
N. Piquet,,1984,4
N. Lauda,,1984,4
N. Mansell,,1984,4
A. Senna,,1984,4
N. Lauda,1,1984,5
N. Mansell,3,1984,5
A. Prost,7,1984,5
A. Senna,,1984,5
N. Piquet,,1984,5
A. Prost,1,1984,6
A. Senna,2,1984,6
N. Lauda,,1984,6
N. Mansell,,1984,6
N. Piquet,,1984,6
N. Piquet,1,1984,7
N. Lauda,2,1984,7
A. Prost,3,1984,7
N. Mansell,6,1984,7
A. Senna,7,1984,7
N. Piquet,1,1984,8
A. Prost,4,1984,8
N. Lauda,,1984,8
N. Mansell,,1984,8
A. Senna,,1984,8
N. Mansell,6,1984,9
N. Lauda,,1984,9
A. Prost,,1984,9
A. Senna,,1984,9
N. Piquet,,1984,9
N. Lauda,1,1984,10
A. Senna,3,1984,10
N. Piquet,7,1984,10
A. Prost,,1984,10
N. Mansell,,1984,10
A. Prost,1,1984,11
N. Lauda,2,1984,11
N. Mansell,4,1984,11
N. Piquet,,1984,11
A. Senna,,1984,11
N. Lauda,1,1984,12
N. Piquet,2,1984,12
A. Senna,,1984,12
N. Mansell,,1984,12
A. Prost,,1984,12
A. Prost,1,1984,13
N. Lauda,2,1984,13
N. Mansell,3,1984,13
A. Senna,,1984,13
N. Piquet,,1984,13
N. Lauda,1,1984,14
N. Piquet,,1984,14
N. Mansell,,1984,14
A. Prost,,1984,14
A. Prost,1,1984,15
N. Piquet,3,1984,15
N. Lauda,4,1984,15
N. Mansell,,1984,15
A. Senna,,1984,15
A. Prost,1,1984,16
N. Lauda,2,1984,16
A. Senna,3,1984,16
N. Piquet,6,1984,16
N. Mansell,,1984,16
N. Piquet,1,1983,1
N. Lauda,3,1983,1
A. Prost,7,1983,1
N. Mansell,12,1983,1
N. Lauda,2,1983,2
A. Prost,11,1983,2
N. Mansell,12,1983,2
N. Piquet,,1983,2
A. Prost,1,1983,3
N. Piquet,2,1983,3
N. Lauda,,1983,3
N. Mansell,,1983,3
A. Prost,2,1983,4
N. Mansell,12,1983,4
N. Piquet,,1983,4
N. Lauda,,1983,4
N. Piquet,2,1983,5
A. Prost,3,1983,5
N. Mansell,,1983,5
N. Lauda,,1983,5
A. Prost,1,1983,6
N. Piquet,4,1983,6
N. Lauda,,1983,6
N. Mansell,,1983,6
N. Piquet,4,1983,7
N. Mansell,6,1983,7
A. Prost,8,1983,7
N. Lauda,13,1983,7
A. Prost,5,1983,8
N. Mansell,,1983,8
N. Piquet,,1983,8
N. Lauda,,1983,8
A. Prost,1,1983,9
N. Piquet,2,1983,9
N. Mansell,4,1983,9
N. Lauda,6,1983,9
A. Prost,4,1983,10
N. Piquet,13,1983,10
N. Lauda,,1983,10
N. Mansell,,1983,10
A. Prost,1,1983,11
N. Piquet,3,1983,11
N. Mansell,5,1983,11
N. Lauda,6,1983,11
N. Piquet,,1983,12
A. Prost,,1983,12
N. Mansell,,1983,12
N. Lauda,,1983,12
N. Piquet,1,1983,13
N. Mansell,8,1983,13
A. Prost,,1983,13
N. Lauda,,1983,13
N. Piquet,1,1983,14
A. Prost,2,1983,14
N. Mansell,3,1983,14
N. Lauda,,1983,14
N. Piquet,3,1983,15
N. Lauda,11,1983,15
N. Mansell,,1983,15
A. Prost,,1983,15
A. Prost,1,1982,1
N. Lauda,4,1982,1
N. Piquet,,1982,1
N. Mansell,,1982,1
A. Prost,1,1982,2
N. Mansell,3,1982,2
N. Piquet,,1982,2
N. Lauda,,1982,2
N. Lauda,1,1982,3
N. Mansell,7,1982,3
N. Piquet,,1982,3
A. Prost,,1982,3
A. Prost,,1982,4
N. Piquet,5,1982,5
N. Lauda,,1982,5
A. Prost,,1982,5
N. Mansell,,1982,5
N. Mansell,4,1982,6
A. Prost,7,1982,6
N. Lauda,,1982,6
N. Piquet,,1982,6
A. Prost,,1982,7
N. Mansell,,1982,7
N. Lauda,,1982,7
N. Piquet,,1982,7
N. Piquet,1,1982,8
A. Prost,,1982,8
N. Lauda,,1982,8
N. Mansell,,1982,8
N. Piquet,2,1982,9
N. Lauda,4,1982,9
A. Prost,,1982,9
N. Lauda,1,1982,10
A. Prost,6,1982,10
N. Mansell,,1982,10
N. Piquet,,1982,10
A. Prost,2,1982,11
N. Lauda,8,1982,11
N. Piquet,,1982,11
N. Mansell,9,1982,12
N. Piquet,,1982,12
A. Prost,,1982,12
N. Lauda,5,1982,13
A. Prost,8,1982,13
N. Piquet,,1982,13
N. Mansell,,1982,13
A. Prost,2,1982,14
N. Lauda,3,1982,14
N. Piquet,4,1982,14
N. Mansell,8,1982,14
N. Mansell,7,1982,15
A. Prost,,1982,15
N. Lauda,,1982,15
N. Piquet,,1982,15
A. Prost,4,1982,16
N. Lauda,,1982,16
N. Piquet,,1982,16
N. Mansell,,1982,16
N. Piquet,3,1981,1
N. Mansell,,1981,1
A. Prost,,1981,1
N. Mansell,11,1981,2
N. Piquet,12,1981,2
A. Prost,,1981,2
N. Piquet,1,1981,3
A. Prost,3,1981,3
N. Mansell,,1981,3
N. Piquet,1,1981,4
A. Prost,,1981,4
N. Mansell,,1981,4
N. Mansell,3,1981,5
N. Piquet,,1981,5
A. Prost,,1981,5
N. Piquet,,1981,6
A. Prost,,1981,6
N. Mansell,,1981,6
N. Mansell,6,1981,7
N. Piquet,,1981,7
A. Prost,,1981,7
A. Prost,1,1981,8
N. Piquet,3,1981,8
N. Mansell,7,1981,8
A. Prost,,1981,9
N. Piquet,,1981,9
N. Mansell,,1981,9
N. Piquet,1,1981,10
A. Prost,2,1981,10
N. Mansell,,1981,10
N. Piquet,3,1981,11
A. Prost,,1981,11
N. Mansell,,1981,11
A. Prost,1,1981,12
N. Piquet,2,1981,12
N. Mansell,,1981,12
A. Prost,1,1981,13
N. Piquet,6,1981,13
N. Mansell,,1981,13
N. Piquet,5,1981,14
A. Prost,,1981,14
N. Mansell,,1981,14
A. Prost,2,1981,15
N. Mansell,4,1981,15
N. Piquet,5,1981,15
N. Piquet,2,1980,1
A. Prost,6,1980,1
A. Prost,5,1980,2
N. Piquet,,1980,2
N. Piquet,4,1980,3
A. Prost,,1980,3
N. Piquet,1,1980,4
N. Piquet,,1980,5
A. Prost,,1980,5
N. Piquet,3,1980,6
A. Prost,,1980,6
N. Piquet,4,1980,7
A. Prost,,1980,7
N. Piquet,2,1980,8
A. Prost,6,1980,8
N. Piquet,4,1980,9
A. Prost,11,1980,9
N. Piquet,5,1980,10
A. Prost,7,1980,10
N. Mansell,,1980,10
N. Piquet,1,1980,11
A. Prost,6,1980,11
N. Mansell,,1980,11
N. Piquet,1,1980,12
A. Prost,7,1980,12
N. Mansell,,1980,12
A. Prost,,1980,13
N. Piquet,,1980,13
N. Piquet,,1980,14
A. Prost,,1980,14
N. Lauda,,1979,1
N. Piquet,,1979,1
N. Lauda,,1979,2
N. Piquet,,1979,2
N. Lauda,6,1979,3
N. Piquet,7,1979,3
N. Piquet,8,1979,4
N. Lauda,,1979,4
N. Lauda,,1979,5
N. Piquet,,1979,5
N. Piquet,,1979,6
N. Lauda,,1979,6
N. Piquet,,1979,7
N. Lauda,,1979,7
N. Piquet,,1979,8
N. Lauda,,1979,8
N. Lauda,,1979,9
N. Piquet,,1979,9
N. Piquet,12,1979,10
N. Lauda,,1979,10
N. Lauda,,1979,11
N. Piquet,,1979,11
N. Piquet,4,1979,12
N. Lauda,,1979,12
N. Lauda,4,1979,13
N. Piquet,,1979,13
N. Piquet,,1979,14
N. Lauda,,1979,14
N. Piquet,,1979,15
N. Lauda,2,1978,1
N. Lauda,3,1978,2
N. Lauda,,1978,3
N. Lauda,,1978,4
N. Lauda,2,1978,5
N. Lauda,,1978,6
N. Lauda,,1978,7
N. Lauda,1,1978,8
N. Lauda,,1978,9
N. Lauda,2,1978,10
N. Piquet,,1978,11
N. Lauda,,1978,11
N. Lauda,,1978,12
N. Piquet,,1978,12
N. Lauda,3,1978,13
N. Piquet,,1978,13
N. Lauda,1,1978,14
N. Piquet,9,1978,14
N. Lauda,,1978,15
N. Piquet,11,1978,16
N. Lauda,,1978,16
N. Lauda,,1977,1
N. Lauda,3,1977,2
N. Lauda,1,1977,3
N. Lauda,2,1977,4
N. Lauda,,1977,5
N. Lauda,2,1977,6
N. Lauda,2,1977,7
N. Lauda,,1977,8
N. Lauda,5,1977,9
N. Lauda,2,1977,10
N. Lauda,1,1977,11
N. Lauda,2,1977,12
N. Lauda,1,1977,13
N. Lauda,2,1977,14
N. Lauda,4,1977,15
N. Lauda,1,1976,1
N. Lauda,1,1976,2
N. Lauda,2,1976,3
N. Lauda,2,1976,4
N. Lauda,1,1976,5
N. Lauda,1,1976,6
N. Lauda,3,1976,7
N. Lauda,,1976,8
N. Lauda,1,1976,9
N. Lauda,,1976,10
N. Lauda,4,1976,13
N. Lauda,8,1976,14
N. Lauda,3,1976,15
N. Lauda,,1976,16
N. Lauda,6,1975,1
N. Lauda,5,1975,2
N. Lauda,5,1975,3
N. Lauda,,1975,4
N. Lauda,1,1975,5
N. Lauda,1,1975,6
N. Lauda,1,1975,7
N. Lauda,2,1975,8
N. Lauda,1,1975,9
N. Lauda,8,1975,10
N. Lauda,3,1975,11
N. Lauda,6,1975,12
N. Lauda,3,1975,13
N. Lauda,1,1975,14
N. Lauda,2,1974,1
N. Lauda,,1974,2
N. Lauda,16,1974,3
N. Lauda,1,1974,4
N. Lauda,2,1974,5
N. Lauda,,1974,6
N. Lauda,,1974,7
N. Lauda,1,1974,8
N. Lauda,2,1974,9
N. Lauda,5,1974,10
N. Lauda,,1974,11
N. Lauda,,1974,12
N. Lauda,,1974,13
N. Lauda,,1974,14
N. Lauda,,1974,15
J. Stewart,3,1973,1
N. Lauda,,1973,1
J. Stewart,2,1973,2
N. Lauda,8,1973,2
J. Stewart,1,1973,3
N. Lauda,,1973,3
J. Stewart,,1973,4
N. Lauda,,1973,4
J. Stewart,1,1973,5
N. Lauda,5,1973,5
J. Stewart,1,1973,6
N. Lauda,,1973,6
J. Stewart,5,1973,7
N. Lauda,13,1973,7
J. Stewart,4,1973,8
N. Lauda,9,1973,8
J. Stewart,10,1973,9
N. Lauda,12,1973,9
J. Stewart,1,1973,10
N. Lauda,,1973,10
J. Stewart,1,1973,11
N. Lauda,,1973,11
J. Stewart,2,1973,12
J. Stewart,4,1973,13
N. Lauda,,1973,13
J. Stewart,5,1973,14
N. Lauda,,1973,14
N. Lauda,,1973,15
J. Stewart,,1973,15
J. Stewart,1,1972,1
N. Lauda,11,1972,1
N. Lauda,7,1972,2
J. Stewart,,1972,2
J. Stewart,,1972,3
N. Lauda,,1972,3
J. Stewart,4,1972,4
N. Lauda,16,1972,4
N. Lauda,12,1972,5
J. Stewart,1,1972,6
N. Lauda,,1972,6
J. Stewart,2,1972,7
N. Lauda,9,1972,7
J. Stewart,11,1972,8
N. Lauda,,1972,8
J. Stewart,7,1972,9
N. Lauda,10,1972,9
N. Lauda,13,1972,10
J. Stewart,,1972,10
J. Stewart,1,1972,11
N. Lauda,,1972,11
J. Stewart,1,1972,12
N. Lauda,19,1972,12
J. Stewart,2,1971,1
J. Stewart,1,1971,2
J. Stewart,1,1971,3
J. Stewart,11,1971,4
J. Stewart,1,1971,5
J. Stewart,1,1971,6
J. Stewart,1,1971,7
J. Stewart,,1971,8
N. Lauda,,1971,8
J. Stewart,,1971,9
J. Stewart,1,1971,10
J. Stewart,5,1971,11
J. Stewart,3,1970,1
J. Stewart,1,1970,2
J. Stewart,,1970,3
J. Stewart,,1970,4
J. Stewart,2,1970,5
J. Stewart,9,1970,6
J. Stewart,,1970,7
J. Stewart,,1970,8
S. Vettel,1,2009,17
N. Rosberg,9,2009,17
K. Räikkönen,12,2009,17
F. Alonso,14,2009,17
L. Hamilton,,2009,17
J. Stewart,,1970,9
J. Stewart,2,1970,10
J. Stewart,,1970,11
J. Stewart,,1970,12
J. Stewart,,1970,13
J. Stewart,1,1969,1
J. Stewart,1,1969,2
J. Stewart,,1969,3
J. Stewart,1,1969,4
J. Stewart,1,1969,5
J. Stewart,1,1969,6
J. Stewart,2,1969,7
J. Stewart,1,1969,8
J. Stewart,,1969,9
J. Stewart,,1969,10
J. Stewart,4,1969,11
J. Clark,1,1968,1
J. Stewart,,1968,1
J. Stewart,4,1968,4
J. Stewart,1,1968,5
J. Stewart,3,1968,6
J. Stewart,6,1968,7
J. Stewart,1,1968,8
